name,text,link
Fiba Banka Kredi,"Vatan Telefon Kredisi için başvuruyorum, Kredi başvurunuzu bankamız veri tabanında kredi performansınıza ilişkin yeterli bilgi olmaması nedeniyle şu anda olumlu değerlendiremiyoruz uyarısı ile karşılaşıyorum. Bu mesajın detayı nedir, nasıl yararlanabilirim bilmiyorum. Müşteri hizmetleri hem sık sık ...",https://www.sikayetvar.com/fibabanka/fiba-banka-kredi
Kredi Kayıt Bürosu Sicil Affından Yararlanmak İstiyorum,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-sicil-affindan-yararlanmak-istiyorum-81
Sicil Affı KKB,"Geçmişte yaptığım kart başvuruları, kredi başvuruları, avans, esnek hesap başvurusu sicilimi oldukça etkiledi ama yaptığım hatalarımı düzelterek durumu bir hayli topladım ama sayıca fazla red başvurusu olduğu için bankalar tarafından güvensiz gözükmeme sebep oluyor. Sizlerden ricam olumsuz sonuçlana...",https://www.sikayetvar.com/kredi-kayit-burosu/sicil-affi-kkb-7
Papara Anonim Şirketi Şikayetçiyim,"Papara sisteminde olan haksızlık maalesef benim başıma da geldi. Papara şirketi tarafından açılan hesabımı bilgilerimi vererek kapattım. Kimlik kartımı iptal ettirdim. Banka hesabımı iptal ettirdim. Karakola, CİMER e numaralarını vererek şikayette bulundum. Benim adıma islak imzam olmadan ya da tele...",https://www.sikayetvar.com/papara/papara-anonim-sirketi-sikayetciyim-1
KKB Sicil Affı Sicilimin Düzeltilmesini Talep Ediyorum,"Sicil Geçmişi Düzeltilmesi! 
Geçmişe dönük bütün borçlarımı ödeyip kapattım şu an gecikmem yok ama kredi kayıt bürosunca puanım düşük ve sicilim bozuk olarak gözüküyor hala bunun kaldırılmasını talep ediyorum. 
Kredi Kayıt Bürosu Kredi Sicil Affından Yararlanmak İstiyorum. 
Bireysel bankacılık ve si...",https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicil-affi-sicilimin-duzeltilmesini-talep-ediyorum
Kredi Kayıt Bürosu Kredi Sicil Af,Bankalarda bulunan sicil kaydının 01.10.2022 tarihinde çıkan sicil afin dan yararlanmak istiyorum Haziran ayında tüm borcumu ödedim kapatım icra dosyamı kapatım ama hiçbir şekilde bankalardan onaylamıyor sizlerden ricam yeni çıkan sicil affından yararlanmak istiyorum en kısa sürede teşekkürler ☺️,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-sicil-af
KKB Sicilimin Güncellenmesi,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicilimin-guncellenmesi-2
KKB Sicil Affı,"Türkiye'de faaliyet gösteren tüm devlet ve özel bankalar nezdinde borcumun olmamasına rağmen kredi, kredi kartı KMH başvurularım reddedilmektedir. 01.10.2022 tarihinden itibaren sicil affım ile KKB ® puanımın kredi, kredi kartı ve KMH olarak başvuruların kabul edilmesini talep ediyorum. Tarihinden ö...",https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicil-affi-150
Papara Hesabına Banka Kartı Ekleme,"Papara hesabıma para yüklemek için hesabıma banka kartımı kaydetmek istiyorum fakat 1₺ tutarındaki kayıt işlemi sonrasında işlem başarısız oluyor, ve ...",https://www.sikayetvar.com/papara/papara-hesabina-banka-karti-ekleme
VakıfBank Banka Kesinti Ücreti,VakıfBank SWİFT ücret 2500 para kesti insanları bu şekilde bu ekonomide yazık günah değil mi herkes parayı kolay kazanmıyor geri iade edilmesini istiyorum. Hesabıma ben parayı yoldan bulmadım. Bu şekilde banka insanlara hizmet vermesin verecekse eğer bu kadar kesinti nedir ya,https://www.sikayetvar.com/vakifbank/vakifbank-banka-kesinti-ucreti
